run_i,run_j,ARI,k,feature_set,bootstrap,bootstrap_frac
13,18,0.5077903445261887,6,full,False,0.8
13,19,0.9954383478820618,6,full,False,0.8
14,15,0.26896989061915433,6,full,False,0.8
14,16,0.37088943031065075,6,full,False,0.8
14,17,0.964681012127278,6,full,False,0.8
14,18,0.37129532196459963,6,full,False,0.8
14,19,0.2726703011847612,6,full,False,0.8
15,16,0.5130084392164189,6,full,False,0.8
15,17,0.2704120132388931,6,full,False,0.8
15,18,0.5124723339993185,6,full,False,0.8
15,19,0.9928662254859455,6,full,False,0.8
16,17,0.3593626001329415,6,full,False,0.8
16,18,0.9985997613358316,6,full,False,0.8
16,19,0.5103180304637001,6,full,False,0.8
17,18,0.3597898416745239,6,full,False,0.8
17,19,0.2741976107575155,6,full,False,0.8
18,19,0.5097862548852109,6,full,False,0.8
